105.2611263,113.3585345,112,2,(105.3 105.74 105.84 106.28 107.1 107.92 108.5 109.16 111.06)
105.2981524,113.3585345,112,2,(105.74 105.84 105.92 106.28 107.1 107.92 108.5 109.16 111.06)
105.7384928,113.3585345,112,2,(105.84 105.92 106.28 107.1 107.92 108.5 109.16 109.78 111.06)
105.8390572,113.3585345,112,2,(105.92 106.28 107.1 107.92 107.95 108.5 109.16 109.78 111.06)
105.9226054,113.3585345,112,2,(106.28 107.1 107.16 107.92 107.95 108.5 109.16 109.78 111.06)
106.275765,113.3585345,112,2,(107.1 107.16 107.92 107.95 108.5 109.16 109.78 111.06 121.27)
107.1039673,113.3585345,112,2,(107.16 107.92 107.95 108.5 109.16 109.78 110.69 111.06 121.27)
107.160268,113.3585345,112,2,(107.92 107.95 108.5 109.16 109.78 110.42 110.69 111.06 121.27)
107.9177755,113.3585345,112,2,(107.95 108.5 108.78 109.16 109.78 110.42 110.69 111.06 121.27)
107.9534318,113.3585345,112,2,(108.5 108.78 109.16 109.78 110.42 110.69 111.06 121.27 122.18)
108.5031286,113.3585345,112,2,(108.78 109.16 109.78 110.42 110.63 110.69 111.06 121.27 122.18)
108.7754446,113.3585345,112,2,(109.16 109.78 110.42 110.63 110.69 111.06 120.52 121.27 122.18)
109.1627212,113.3585345,112,2,(109.78 110.42 110.63 110.69 111.06 118.22 120.52 121.27 122.18)
109.7758975,113.3585345,112,2,(110.42 110.63 110.69 111.06 111.13 118.22 120.52 121.27 122.18)
110.4150867,113.3585345,112,2,(110.63 110.69 111.06 111.13 113.29 118.22 120.52 121.27 122.18)
110.6253407,113.3585345,112,2,(110.69 111.06 111.13 113.22 113.29 118.22 120.52 121.27 122.18)
110.6921393,113.3585345,112,2,(110.98 111.06 111.13 113.22 113.29 118.22 120.52 121.27 122.18)
110.9754839,113.3585345,112,2,(111.06 111.13 113.22 113.29 116.48 118.22 120.52 121.27 122.18)
111.0596449,113.3585345,112,2,(111.13 111.49 113.22 113.29 116.48 118.22 120.52 121.27 122.18)
111.1256881,113.3585345,112,2,(111.49 113.22 113.29 116.48 117.37 118.22 120.52 121.27 122.18)
111.4928243,113.3585345,112,2,(113.22 113.29 115.09 116.48 117.37 118.22 120.52 121.27 122.18)
112,113.3585345,122,1,(113.22 113.29 115.09 116.48 117.37 118.22 120.52 121.27 122.18)
113.2161495,113.3585345,122,2,(113.29 115.09 116.48 117.37 118.22 120.52 121.27 122.18)
