======================================
Simulation Data for Service Time: 11
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
32 	 145.230000 	 247.090000 	    137.490000 	 349.590000 	 18028.020000
33 	 152.930000 	 272.720000 	    137.800000 	 292.750000 	 18241.030000
34 	 159.070000 	 225.880000 	    148.060000 	 249.460000 	 18635.280000
35 	 167.660000 	 313.450000 	    157.460000 	 306.990000 	 17773.040000
36 	 172.580000 	 228.440000 	    157.920000 	 290.550000 	 18973.450000
37 	 174.530000 	 1054.050000 	    169.390000 	 1171.820000 	 17756.200000
38 	 178.910000 	 906.030000 	    169.400000 	 1183.140000 	 18770.390000
39 	 180.150000 	 226.540000 	    176.890000 	 234.490000 	 18244.290000
40 	 193.660000 	 300.170000 	    194.710000 	 276.170000 	 17903.230000
41 	 196.750000 	 544.430000 	    208.710000 	 583.660000 	 17119.290000
42 	 205.640000 	 361.480000 	    214.530000 	 363.420000 	 17692.820000
43 	 212.860000 	 421.070000 	    241.510000 	 490.990000 	 18536.240000
44 	 226.860000 	 501.810000 	    253.870000 	 522.060000 	 17532.540000
45 	 248.150000 	 228.660000 	    267.620000 	 226.130000 	 18155.800000
46 	 277.290000 	 209.600000 	    284.770000 	 301.180000 	 18722.520000
47 	 282.510000 	 365.800000 	    305.880000 	 388.100000 	 17696.220000
48 	 293.680000 	 317.710000 	    316.770000 	 325.420000 	 17951.750000
49 	 294.800000 	 223.120000 	    323.350000 	 249.060000 	 17996.630000
	 Mean		95th_Percentile	Confidence(+)	Confidence(-)
D value: 133.890000 	 305.880000 	 154.100000 	 113.680000
T value: 136.260000 	 282.510000 	 154.040000 	 118.480000
P value: 18096.170000 	     -      	 18238.550000 	 17953.790000
