======================================
Simulation Data for Service Time: 11
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
27 	 18.070000 	 49.840000 	    24.210000 	 55.420000 	 18147.350000
28 	 18.350000 	 47.840000 	    24.720000 	 24.340000 	 18178.330000
29 	 18.560000 	 46.290000 	    24.880000 	 82.830000 	 18450.020000
30 	 18.610000 	 42.440000 	    25.270000 	 30.780000 	 19631.520000
31 	 18.620000 	 40.010000 	    25.640000 	 68.360000 	 17500.780000
32 	 18.700000 	 48.590000 	    26.260000 	 44.940000 	 18880.350000
33 	 19.010000 	 50.550000 	    26.710000 	 63.390000 	 17391.610000
34 	 19.140000 	 51.570000 	    26.730000 	 75.210000 	 18780.750000
35 	 19.270000 	 64.750000 	    27.600000 	 169.490000 	 17676.100000
36 	 19.690000 	 59.980000 	    27.650000 	 60.900000 	 17489.240000
37 	 19.710000 	 51.550000 	    27.910000 	 84.380000 	 16727.700000
38 	 19.760000 	 54.660000 	    28.030000 	 58.660000 	 17682.160000
39 	 20.270000 	 41.620000 	    28.150000 	 79.720000 	 17975.020000
40 	 20.680000 	 40.720000 	    28.820000 	 40.760000 	 19088.770000
41 	 20.730000 	 39.240000 	    28.970000 	 27.820000 	 18386.340000
42 	 20.860000 	 41.740000 	    29.920000 	 26.070000 	 18152.160000
43 	 20.950000 	 45.210000 	    30.790000 	 52.170000 	 18199.800000
44 	 20.950000 	 52.750000 	    30.910000 	 62.900000 	 18517.190000
45 	 21.180000 	 43.510000 	    33.780000 	 37.130000 	 18326.760000
46 	 21.440000 	 47.920000 	    34.860000 	 94.400000 	 18125.800000
47 	 21.900000 	 39.950000 	    35.720000 	 0.000000 	 18132.170000
48 	 23.380000 	 54.550000 	    54.380000 	 72.750000 	 17866.010000
49 	 23.890000 	 53.990000 	    79.720000 	 49.980000 	 17772.860000
	 Mean		95th_Percentile	Confidence(+)	Confidence(-)
D value: 24.390000 	 35.720000 	 27.490000 	 21.290000
T value: 18.330000 	 21.900000 	 18.910000 	 17.750000
P value: 17998.260000 	     -      	 18161.480000 	 17835.040000
======================================
 
======================================
Simulation Data for Service Time: 13
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
0 	 17.220000 	 59.120000 	    16.780000 	 63.340000 	 18525.900000
1 	 18.400000 	 44.070000 	    17.530000 	 37.320000 	 19264.590000
2 	 19.330000 	 51.370000 	    19.120000 	 108.730000 	 18219.670000
3 	 19.370000 	 52.880000 	    20.110000 	 88.330000 	 17616.020000
4 	 19.630000 	 65.600000 	    20.420000 	 68.670000 	 18540.380000
5 	 20.020000 	 55.360000 	    20.610000 	 71.220000 	 17593.720000
6 	 20.090000 	 59.970000 	    21.400000 	 46.030000 	 18443.790000
7 	 20.780000 	 64.820000 	    22.130000 	 58.340000 	 18241.760000
8 	 20.990000 	 81.650000 	    22.820000 	 199.770000 	 18173.770000
9 	 21.040000 	 64.120000 	    22.840000 	 81.670000 	 16989.520000
10 	 21.090000 	 68.620000 	    23.360000 	 95.190000 	 17193.590000
11 	 21.250000 	 67.530000 	    23.380000 	 97.920000 	 18035.260000
12 	 21.310000 	 62.760000 	    24.060000 	 71.530000 	 17657.910000
13 	 21.610000 	 56.110000 	    24.170000 	 77.990000 	 18527.690000
14 	 21.800000 	 57.890000 	    24.720000 	 57.330000 	 18586.310000
15 	 22.050000 	 44.750000 	    24.900000 	 100.030000 	 18501.270000
16 	 22.110000 	 55.970000 	    25.100000 	 111.550000 	 18046.000000
17 	 22.160000 	 63.570000 	    25.340000 	 59.810000 	 17426.140000
18 	 22.230000 	 71.990000 	    25.510000 	 82.390000 	 17440.450000
19 	 22.280000 	 64.730000 	    25.600000 	 118.110000 	 18416.610000
20 	 22.640000 	 49.690000 	    25.740000 	 99.970000 	 18383.640000
21 	 22.720000 	 54.150000 	    26.010000 	 72.300000 	 18775.470000
22 	 22.760000 	 55.570000 	    26.350000 	 59.050000 	 17973.630000
23 	 22.930000 	 64.410000 	    26.900000 	 71.430000 	 18633.100000
24 	 23.020000 	 72.770000 	    27.040000 	 126.340000 	 17520.600000
25 	 23.090000 	 61.670000 	    27.390000 	 97.270000 	 16890.830000
26 	 23.260000 	 94.080000 	    27.820000 	 163.040000 	 17326.740000
27 	 23.430000 	 63.610000 	    27.940000 	 63.260000 	 17641.890000
28 	 23.440000 	 71.950000 	    29.270000 	 92.450000 	 17333.670000
29 	 23.570000 	 51.100000 	    30.460000 	 85.490000 	 18076.790000
30 	 23.720000 	 64.170000 	    31.070000 	 75.640000 	 17655.570000
31 	 23.730000 	 55.500000 	    31.250000 	 64.790000 	 17692.510000
32 	 24.270000 	 57.480000 	    31.630000 	 69.100000 	 17479.600000
33 	 24.450000 	 63.110000 	    31.790000 	 80.760000 	 18457.500000
34 	 24.460000 	 64.780000 	    31.820000 	 83.950000 	 17788.050000
35 	 24.550000 	 64.550000 	    31.940000 	 142.460000 	 18007.150000
36 	 24.710000 	 61.890000 	    32.230000 	 76.170000 	 19160.610000
37 	 24.820000 	 54.600000 	    32.350000 	 53.830000 	 17871.080000
38 	 25.560000 	 69.930000 	    32.370000 	 73.960000 	 17729.950000
39 	 25.730000 	 55.890000 	    33.390000 	 68.320000 	 17606.850000
40 	 25.740000 	 64.650000 	    34.490000 	 136.960000 	 17762.380000
41 	 25.880000 	 51.610000 	    34.720000 	 64.040000 	 18374.730000
42 	 26.290000 	 64.560000 	    35.290000 	 93.820000 	 18109.740000
43 	 26.470000 	 61.530000 	    40.570000 	 57.670000 	 17409.480000
44 	 26.880000 	 61.120000 	    42.770000 	 79.080000 	 18426.920000
45 	 27.300000 	 59.190000 	    43.420000 	 75.010000 	 18185.370000
46 	 27.940000 	 61.810000 	    44.950000 	 109.950000 	 18461.290000
47 	 28.440000 	 54.210000 	    46.460000 	 47.470000 	 18459.490000
48 	 31.580000 	 92.140000 	    47.680000 	 185.960000 	 16958.480000
49 	 33.770000 	 63.180000 	    49.910000 	 58.770000 	 18290.760000
	 Mean		95th_Percentile	Confidence(+)	Confidence(-)
D value: 29.300000 	 46.460000 	 31.480000 	 27.120000
T value: 23.440000 	 28.440000 	 24.300000 	 22.580000
P value: 17997.680000 	     -      	 18147.630000 	 17847.730000
======================================
 
======================================
Simulation Data for Service Time: 14
======================================
N 	 Mean_T		95th_Percentile_T	Mean_D	95th_Percentile_D	P
0 	 23.700000 	 76.900000 	    20.930000 	 86.100000 	 18003.000000
1 	 23.710000 	 67.290000 	    22.360000 	 105.480000 	 17748.710000
2 	 24.450000 	 75.980000 	    22.490000 	 90.470000 	 17708.720000
3 	 24.490000 	 62.850000 	    22.870000 	 86.210000 	 19627.860000
4 	 25.060000 	 82.070000 	    24.580000 	 117.820000 	 18088.030000
5 	 25.250000 	 69.270000 	    24.890000 	 113.150000 	 17674.710000
6 	 25.480000 	 77.240000 	    25.130000 	 116.070000 	 18748.860000
7 	 25.600000 	 73.720000 	    25.140000 	 139.060000 	 18547.260000
8 	 25.840000 	 66.830000 	    25.200000 	 79.880000 	 17518.660000
9 	 26.570000 	 73.250000 	    25.200000 	 91.180000 	 17483.870000
10 	 26.570000 	 108.490000 	    26.220000 	 135.190000 	 17788.240000
11 	 26.860000 	 114.650000 	    26.250000 	 148.200000 	 17503.290000
12 	 26.890000 	 66.820000 	    26.870000 	 79.420000 	 18287.690000
13 	 26.940000 	 68.450000 	    27.930000 	 129.490000 	 17845.150000
14 	 27.060000 	 64.070000 	    28.010000 	 58.580000 	 18850.880000
15 	 27.080000 	 69.340000 	    28.330000 	 67.740000 	 17385.680000
16 	 27.160000 	 76.260000 	    28.340000 	 104.820000 	 19184.670000
17 	 27.250000 	 72.540000 	    28.610000 	 81.400000 	 18335.840000
18 	 27.330000 	 158.780000 	    29.710000 	 255.480000 	 17464.390000
19 	 27.870000 	 74.050000 	    29.950000 	 148.260000 	 17584.900000
20 	 28.310000 	 75.310000 	    30.210000 	 215.130000 	 19042.960000
21 	 28.330000 	 74.670000 	    31.520000 	 176.150000 	 17959.690000
22 	 28.540000 	 63.470000 	    31.710000 	 63.570000 	 18603.140000
23 	 28.640000 	 71.880000 	    32.460000 	 97.980000 	 18189.090000
24 	 28.740000 	 72.060000 	    33.430000 	 61.140000 	 18627.510000
25 	 29.010000 	 91.690000 	    33.690000 	 121.760000 	 18756.920000
26 	 29.150000 	 64.900000 	    35.300000 	 78.180000 	 19255.830000
27 	 29.210000 	 91.270000 	    35.520000 	 141.930000 	 18193.560000
